,disc_year,releasedate,pl_name,hostname,discoverymethod,disc_facility,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_insol,pl_eqt,pl_controv_flag,pl_bmasse,soltype,gravity_multiple_of_earths_gravity
14530,2017-01-01,2017-11-16,Kepler-1652 b,Kepler-1652,Transit,Kepler,1,1,38.09722,0.1654,1.6,0.81,268.0,0,,Published Confirmed,
14540,2017-01-01,2017-11-16,Kepler-1653 b,Kepler-1653,Transit,Kepler,1,1,140.2524,0.4706,2.17,0.98,284.0,0,,Published Confirmed,
14543,2018-01-01,2018-03-08,Kepler-1654 b,Kepler-1654,Transit,Kepler,1,1,1047.8356,2.026,9.18,0.3,206.0,0,158.915,Published Confirmed,1.8857300848201781
14552,2018-01-01,2023-04-17,Kepler-1655 b,Kepler-1655,Transit,Kepler,1,1,11.8728787,0.1029,2.213,129.1,938.0,0,5.4,Published Confirmed,1.1026328626656476
14562,2018-01-01,2022-05-24,Kepler-1656 b,Kepler-1656,Transit,Kepler,1,2,31.562,0.1974,,,,0,47.8,Published Confirmed,
14569,2019-01-01,2019-03-14,Kepler-1658 b,Kepler-1658,Transit,Kepler,1,1,3.84937278,0.0544,11.994,,,0,1868.8404,Published Confirmed,12.991046131703504
14581,2014-01-01,2014-05-14,Kepler-166 b,Kepler-166,Transit,Kepler,1,3,7.650254,0.072,2.27,,,0,,Published Confirmed,
14586,2014-01-01,2014-05-14,Kepler-166 c,Kepler-166,Transit,Kepler,1,3,34.260281,0.195,2.38,,,0,,Published Confirmed,
14599,2016-01-01,2016-05-10,Kepler-166 d,Kepler-166,Transit,Kepler,1,3,1.55400393,,1.73,,,0,,Published Confirmed,
14604,2023-01-01,2024-04-19,Kepler-1660 AB b,Kepler-1660 A,Eclipse Timing Variations,Kepler,2,1,239.5044,,,,,0,1586.59941,Published Confirmed,
14606,2020-01-01,2020-02-27,Kepler-1661 b,Kepler-1661,Transit,Kepler,2,1,175.06,0.633,3.87,0.88,243.0,0,17.0,Published Confirmed,1.1350813586256168
14614,2020-01-01,2020-09-03,Kepler-1663 b,Kepler-1663,Transit,Kepler,1,1,17.6046,,3.304,,,0,,Published Confirmed,
14616,2020-01-01,2020-09-03,Kepler-1664 b,Kepler-1664,Transit,Kepler,1,1,14.3868,,3.033,,,0,,Published Confirmed,
14624,2020-01-01,2020-09-03,Kepler-1665 b,Kepler-1665,Transit,Kepler,1,1,11.9548,,2.839,,,0,,Published Confirmed,
14635,2020-01-01,2020-09-03,Kepler-1666 b,Kepler-1666,Transit,Kepler,1,2,25.8476,,2.883,,,0,,Published Confirmed,
14640,2020-01-01,2020-09-03,Kepler-1666 c,Kepler-1666,Transit,Kepler,1,2,40.7157,,3.236,,,0,,Published Confirmed,
14654,2020-01-01,2020-09-03,Kepler-1667 b,Kepler-1667,Transit,Kepler,1,1,83.5781,,2.984,,,0,,Published Confirmed,
14655,2020-01-01,2020-09-03,Kepler-1668 b,Kepler-1668,Transit,Kepler,1,1,15.434,,4.348,,,0,,Published Confirmed,
14670,2020-01-01,2020-09-03,Kepler-1669 b,Kepler-1669,Transit,Kepler,1,3,9.51216,,2.78,,,0,,Published Confirmed,
14671,2021-01-01,2021-12-05,Kepler-1669 c,Kepler-1669,Transit,Kepler,1,3,1.60932005,,1.901,,,0,,Published Confirmed,
14681,2023-01-01,2017-05-08,Kepler-1669 d,Kepler-1669,Transit,Kepler,1,3,4.72941177,0.0468,1.22,47.3,669.0,0,,Kepler Project Candidate (q1_q17_dr25_koi),
14688,2014-01-01,2022-07-18,Kepler-167 b,Kepler-167,Transit,Kepler,2,4,4.3931539,0.04825,1.718,,918.0,0,,Published Confirmed,
14704,2014-01-01,2022-07-18,Kepler-167 c,Kepler-167,Transit,Kepler,2,4,7.406106,0.0684,1.674,,771.0,0,,Published Confirmed,
14717,2016-01-01,2022-07-18,Kepler-167 d,Kepler-167,Transit,Kepler,2,4,21.80379,0.1404,1.238,,538.0,0,,Published Confirmed,
14727,2016-01-01,2022-07-18,Kepler-167 e,Kepler-167,Transit,Kepler,2,4,1071.23205,1.883,10.16,,134.0,0,321.00669,Published Confirmed,3.109758528892058
14737,2020-01-01,2020-09-03,Kepler-1670 b,Kepler-1670,Transit,Kepler,1,1,20.4998,,3.356,,,0,,Published Confirmed,
14743,2020-01-01,2020-09-03,Kepler-1671 b,Kepler-1671,Transit,Kepler,1,1,4.16787,,1.326,,,0,,Published Confirmed,
14754,2020-01-01,2020-09-03,Kepler-1672 b,Kepler-1672,Transit,Kepler,1,1,150.878,,2.97,,,0,,Published Confirmed,
14762,2020-01-01,2020-09-03,Kepler-1673 b,Kepler-1673,Transit,Kepler,1,1,33.7888,,2.936,,,0,,Published Confirmed,
14771,2020-01-01,2020-09-03,Kepler-1674 b,Kepler-1674,Transit,Kepler,1,1,62.5611,,3.206,,,0,,Published Confirmed,
14778,2020-01-01,2020-09-03,Kepler-1675 b,Kepler-1675,Transit,Kepler,1,1,63.0382,,3.125,,,0,,Published Confirmed,
14782,2020-01-01,2020-09-03,Kepler-1676 b,Kepler-1676,Transit,Kepler,1,1,29.9221,,3.377,,,0,,Published Confirmed,
14792,2020-01-01,2020-09-03,Kepler-1677 b,Kepler-1677,Transit,Kepler,1,1,22.064,,2.702,,,0,,Published Confirmed,
14802,2020-01-01,2020-09-03,Kepler-1678 b,Kepler-1678,Transit,Kepler,1,1,147.974,,3.304,,,0,,Published Confirmed,
14804,2020-01-01,2020-09-03,Kepler-1679 b,Kepler-1679,Transit,Kepler,1,1,9.75376,,2.069,,,0,,Published Confirmed,
14813,2014-01-01,2014-05-14,Kepler-168 b,Kepler-168,Transit,Kepler,1,2,4.425391,0.056,1.46,,,0,,Published Confirmed,
14830,2014-01-01,2014-05-14,Kepler-168 c,Kepler-168,Transit,Kepler,1,2,13.193242,0.116,2.69,,,0,,Published Confirmed,
14839,2020-01-01,2020-09-03,Kepler-1680 b,Kepler-1680,Transit,Kepler,1,1,8.77424,,1.36,,,0,,Published Confirmed,
14847,2020-01-01,2020-09-03,Kepler-1681 b,Kepler-1681,Transit,Kepler,1,1,69.8956,,2.553,,,0,,Published Confirmed,
14855,2020-01-01,2020-09-03,Kepler-1682 b,Kepler-1682,Transit,Kepler,1,1,14.8334,,2.889,,,0,,Published Confirmed,
14860,2020-01-01,2020-09-03,Kepler-1683 b,Kepler-1683,Transit,Kepler,1,1,15.0337,,1.875,,,0,,Published Confirmed,
14871,2020-01-01,2020-09-03,Kepler-1684 b,Kepler-1684,Transit,Kepler,1,1,47.7055,,2.871,,,0,,Published Confirmed,
14877,2020-01-01,2020-09-03,Kepler-1685 b,Kepler-1685,Transit,Kepler,1,1,20.4905,,2.577,,,0,,Published Confirmed,
14883,2020-01-01,2020-09-03,Kepler-1686 b,Kepler-1686,Transit,Kepler,1,1,9.30987,,1.426,,,0,,Published Confirmed,
14890,2020-01-01,2020-09-03,Kepler-1687 b,Kepler-1687,Transit,Kepler,1,1,5.77954,,1.656,,,0,,Published Confirmed,
14898,2020-01-01,2020-09-03,Kepler-1688 b,Kepler-1688,Transit,Kepler,1,1,5.62012,,1.262,,,0,,Published Confirmed,
14907,2020-01-01,2020-09-03,Kepler-1689 b,Kepler-1689,Transit,Kepler,1,1,8.483,,0.947,,,0,,Published Confirmed,
14914,2014-01-01,2014-05-14,Kepler-169 b,Kepler-169,Transit,Kepler,1,5,3.250619,0.04,1.13,,,0,,Published Confirmed,
14919,2014-01-01,2014-05-14,Kepler-169 c,Kepler-169,Transit,Kepler,1,5,6.195469,0.062,1.21,,,0,,Published Confirmed,
14931,2014-01-01,2014-05-14,Kepler-169 d,Kepler-169,Transit,Kepler,1,5,8.348125,0.075,1.25,,,0,,Published Confirmed,
14947,2014-01-01,2014-05-14,Kepler-169 e,Kepler-169,Transit,Kepler,1,5,13.767102,0.105,2.2,,,0,,Published Confirmed,
14957,2014-01-01,2014-05-14,Kepler-169 f,Kepler-169,Transit,Kepler,1,5,87.090195,0.359,2.58,,,0,,Published Confirmed,
14966,2020-01-01,2020-09-03,Kepler-1690 b,Kepler-1690,Transit,Kepler,1,1,234.636,,2.811,,,0,,Published Confirmed,
14976,2020-01-01,2020-09-03,Kepler-1691 b,Kepler-1691,Transit,Kepler,1,1,3.8482,,1.835,,,0,,Published Confirmed,
14983,2020-01-01,2020-09-03,Kepler-1692 b,Kepler-1692,Transit,Kepler,1,1,5.95966,,1.112,,,0,,Published Confirmed,
14990,2020-01-01,2020-09-03,Kepler-1693 b,Kepler-1693,Transit,Kepler,1,2,12.0999,,1.289,,,0,,Published Confirmed,
14997,2021-01-01,2021-12-05,Kepler-1693 c,Kepler-1693,Transit,Kepler,1,2,5.36370993,,0.977,,,0,,Published Confirmed,
15003,2020-01-01,2020-09-03,Kepler-1694 b,Kepler-1694,Transit,Kepler,1,1,3.89526,,1.18,,,0,,Published Confirmed,
15012,2020-01-01,2020-09-03,Kepler-1695 b,Kepler-1695,Transit,Kepler,1,1,4.7329,,1.119,,,0,,Published Confirmed,
15017,2020-01-01,2020-09-03,Kepler-1696 b,Kepler-1696,Transit,Kepler,1,1,65.9409,,2.81,,,0,,Published Confirmed,
15021,2020-01-01,2020-09-03,Kepler-1697 b,Kepler-1697,Transit,Kepler,1,1,33.4969,,1.26,,,0,,Published Confirmed,
15031,2020-01-01,2020-09-03,Kepler-1698 b,Kepler-1698,Transit,Kepler,1,1,1.2107,,1.073,,,0,,Published Confirmed,
15036,2020-01-01,2020-09-03,Kepler-1699 b,Kepler-1699,Transit,Kepler,1,1,3.49082,,1.567,,,0,,Published Confirmed,
15049,2011-01-01,2014-05-14,Kepler-17 b,Kepler-17,Transit,Kepler,1,1,1.4857108,0.02591,14.68,,1570.0,0,778.65,Published Confirmed,3.613184818359332
15065,2014-01-01,2014-05-14,Kepler-170 b,Kepler-170,Transit,Kepler,1,2,7.930592,0.08,3.2,,,0,,Published Confirmed,
15072,2014-01-01,2014-05-14,Kepler-170 c,Kepler-170,Transit,Kepler,1,2,16.665863,0.131,2.86,,,0,,Published Confirmed,
15085,2020-01-01,2020-09-03,Kepler-1700 b,Kepler-1700,Transit,Kepler,1,1,234.239,,2.901,,,0,,Published Confirmed,
15086,2020-01-01,2020-09-03,Kepler-1701 b,Kepler-1701,Transit,Kepler,1,1,169.134,,2.222,,,0,,Published Confirmed,
15097,2020-01-01,2020-09-03,Kepler-1702 b,Kepler-1702,Transit,Kepler,1,1,18.5012,,1.602,,,0,,Published Confirmed,
15103,2013-01-01,2022-11-07,Kepler-1704 b,Kepler-1704,Transit,Kepler,1,1,988.88112,2.027,11.949,0.34,254.0,0,1322.16617,Published Confirmed,9.260254413054517
